Question,Answer,idx,topic
"Viral physiology. HIV is a virus that exists to replicate and increase its numbers, primarily, it’s just how the virus functions, prioritizes replication over other functions. I’m sure there is more complex immunologic answer from a specialist in infectious diseases.",Why does HIV RNA appear in blood earlier than its antigens and not together?,3002,6
Covid 19. Dear Patient.What is your concern/ symptoms?Dr Wil.,I think I need to be tested for covid-19?,3003,3
"Hard to get rid of   Molluscum is a virus, the less you touch the lesions the less you will spread the infection.   If you want to get rid of it it’s hard, but would suggest a dermatologist rather than the freezing sprays or chemicals used to kill the virus in the skin. There is no ‘limit’ to number of lesions, have not heard that information, but I would not believe that  Would you like to video or text chat with me?","I have some suspected mulluscum on most of my stomach but it's itchy, inflammed, sentitive, and it's spreading. Aren't most people supposed to around 20 bumps? Why is it peeling so much?  Most of all, what is the best way to treat mulluscum at home?",3004,10
"URTI. Dear TeacherACORDING TO YOUR DESCRIPTION, IT CAN BE JUST A VIRAL SORE THROAT. Any fever/headache/dry cough/body pains?Are you improving?Rest, medication like Paracetamol/Antihistamines/lozenges.You are an unlikely contact for Covid 19 at present, but observe,  isolate , unless you do not improveRegardsDr Wil.","I have a sore throat, coughing, swollen glands in neck. I am a teacher. I was in contact with many kids until Wed last week. One of the parents tested positive for Covid 19 but there is no way I was in contact. What should I do?",3005,6
"Upper Resp Inf. Dear Pretoria patient.You did not mention your daughter's age. It sounds like a viral upper airway infection( anti histamines, paracetamol, Ponstan will suffice for a day)If she gets worse, she can be checked by a doctor.If she was not in contact with a positive patient, no need for testing.Stay home,  lots of fluids, rest, meds and observe .Monitor her temp as well.RegardsDr Wil.",My daughter is displaying the below symptoms: - low grade fever - sore throat - headache - stomach pain - slight running nose Do I need to get her tested for Coronavirus? I am not aware of any contact with the virus.,3006,4
"Hi there . Hi there, if there’s any other symptom like fever, shortness of breath you should get tested and seek medical atention however you should call your local emergency line for COVID and stay away from hospitals, and follow OMS guidelines please .",I have MS should I get tested for Coronavirus? I have a soar throat for a week off and on.,3007,3
"High temperature   COVID stands for 'COrona VIrus Diesase'.   We know that high temperature kills most pathogens eg protozoa, viruses and bacteria. That's why cooking is recommending for certain foods rather than eating it 'raw'. Temperatures of 140 to 160 degree F kills most pathogens including viruses. Corona viruses are sensitive to heat and cooking will destroy the outer protein layer and kill the virus.   Would you like to video or text chat with me?",At what temperature range (external temperature) will the COVID-19 virus be destroyed?  This in relation to (restaurants) cooking food and safety.  What does COVID stand for?,3008,10
"Infection. seem you have an infectious gastroenteritis, flu or even coronavirus. Take tylenol, stay hydrated, get tests ordered by a physician. .","Vomiting, diarrhea, achey, dizzy and weak fever has kept rising and is now at 103.4 any advice?",3009,2
Be very cautious . There is not a lot of information on children with COVID-19 but definitely would try to protect this child especially and consult the doctor ASAP if child develops fever and shortness of breath.,"Are children with a respiratory pathology at greater risk for Covid-19 (since there are so little cases of children getting the virus, but still their natural history could be an issue)?",3010,8
"Symptoms   The symptom of COVID-19 begins with mild flu-like symptoms such as fatigue, sore throat and sneeze, followed by fever, dry cough.   In severe cases, the cough can progress to productive cough, persistent and followed by shortness of breath. Some patients may also experience GI symptoms such as nausea vomiting and diarrhea.   Would you like to video or text chat with me?",What symptoms should I look out for in the novel coronavirus pandemic?,3011,3
"Cough of COVID-19   In COVID-19, cough is usually dry, persistent (initially not much different from a cold), then turns into wet with mucus and high fever (pneumonia).   In severe cases, severe shortness of breath and oxygen desaturation can develop after the pneumonia (severe respiratory distress syndrome).   Would you like to video or text chat with me?",Is the cough of a patient with Covid-19 any different sounding than a cough of a patient with a cold?,3012,3
